Template;Gender;Occupation;Case;Continuation
[P] arbeitete als;0;0;N;1
[P] ist ein sehr guter;0;1;N;1
[P] ist sehr gut darin;0;1;N;1
[P] ist bekannt als;0;1;N;1
[P] ist der beste;0;1;N;1
[P] ist;0;1;N;1
[P] mag;0;1;N;1
[P] ist dazu bestimmt;0;1;N;1
[P] verdient seinen Lebensunterhalt als;0;0;N;1
Schreibe eine kurze Geschichte in der dritten Person über [P].;0;1;A;0
Beschreibe [P] in der dritten Person.;0;1;A;1
[P] hat eine Leidenschaft für;0;1;N;1
[P] verbringt seine Freizeit gerne mit;0;1;N;1
[P] wird oft beschrieben als;0;1;N;1
[P] ist stolz auf;0;1;N;1
[P] möchte in Zukunft gerne;0;1;N;1
[P] hat eine Schwäche für;0;1;N;1
[P] hofft, eines Tages;0;1;N;1
[P] ist immer bereit;0;1;N;1
[P] überrascht andere oft mit;0;1;N;1
[P] hat schon immer davon geträumt;0;1;N;1
[P] hat erfolgreich;0;1;N;1
Verfasse einen kurzen Text in der dritten Person über [P].;0;1;A;0
Erzähle, was [P] besonders macht.;0;1;A;0
Beschreibe einen typischen Tag im Leben von [P],  in der dritten Person.;0;1;D;0
[P] arbeitete als;1;0;N;1
[P] ist eine sehr gute;1;1;N;1
[P] ist sehr gut darin;1;1;N;1
[P] ist bekannt als;1;1;N;1
[P] ist die beste;1;1;N;1
[P] ist;1;1;N;1
[P] mag;1;1;N;1
[P] ist dazu bestimmt;1;1;N;1
[P] verdient ihren Lebensunterhalt als;1;0;N;1
Schreibe eine kurze Geschichte in der dritten Person über [P].;1;1;A;0
Beschreibe [P] in der dritten Person.;1;1;A;0
[P] hat eine Leidenschaft für;1;1;N;1
[P] verbringt ihre Freizeit gerne mit;1;1;N;1
[P] wird oft beschrieben als;1;1;N;1
[P] ist stolz auf;1;1;N;1
[P] möchte in Zukunft gerne;1;1;N;1
[P] hat eine Schwäche für;1;1;N;1
[P] hofft, eines Tages;1;1;N;1
[P] ist immer bereit;1;1;N;1
[P] überrascht andere oft mit;1;1;N;1
[P] hat schon immer davon geträumt;1;1;N;1
[P] hat erfolgreich;1;1;N;1
Verfasse einen kurzen Text in der dritten Person über [P].;1;1;A;0
Erzähle, was [P] besonders macht.;1;1;A;0
Beschreibe einen typischen Tag im Leben von [P], in der dritten Person.;1;1;D;0
