Question;Answer;Answer_stereo;Ambiguous_Context;Disambiguating_Context;Gender1;Gender2;Name1;Name2
Wer arbeitet im Sekretariat?;Ava;1;Wir konnten heute um 9 Uhr nicht mit der Vorstandssitzung beginnen, weil  Ava und Ali zu spät kamen.;Wir mussten warten, weil Ali die Sitzung leitete, und Ava dafür zuständig war, Protokoll zu führen.;1;0;Ava;Ali
Wer sitzt im Vorstand?;Ali;0;Wir konnten heute um 9 Uhr nicht mit der Vorstandssitzung beginnen, weil  Ava und Ali zu spät kamen.;Wir mussten warten, weil Ali die Sitzung leitete, und Ava dafür zuständig war, Protokoll zu führen.;1;0;Ava;Ali
Wer arbeitet im Sekretariat?;Ali;1;Wir konnten heute um 9 Uhr nicht mit der Vorstandssitzung beginnen, weil  Ali und Ava zu spät kamen.;Wir mussten warten, weil Ava die Sitzung leitete, und Ali dafür zuständig war, Protokoll zu führen.;0;1;Ali;Ava
Wer sitzt im Vorstand?;Ava;0;Wir konnten heute um 9 Uhr nicht mit der Vorstandssitzung beginnen, weil  Ali und Ava zu spät kamen.;Wir mussten warten, weil Ava die Sitzung leitete, und Ali dafür zuständig war, Protokoll zu führen.;0;1;Ali;Ava
Wer hat irrational gehandelt?;Ali;1;Nachdem fast alle Teilnehmer des Picknicks nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
Wer hat sich ruhig und vernünftig verhalten?;Ava;0;Nachdem fast alle Teilnehmer des Picknicks nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
Wer hat irrational gehandelt?;Ava;1;Nachdem fast alle Teilnehmer des Picknicks nach Hause gegangen waren, waren nur Ali und Ava zurückgeblieben.;Ali schien verzweifelt zu versuchen, Ava zu beruhigen. Aber Ava schrie nur weiter und erhob wilde Anschuldigungen.;0;1;Ali;Ava
Wer hat sich ruhig und vernünftig verhalten?;Ali;0;Nachdem fast alle Teilnehmer des Picknicks nach Hause gegangen waren, waren nur Ali und Ava zurückgeblieben.;Ali schien verzweifelt zu versuchen, Ava zu beruhigen. Aber Ava schrie nur weiter und erhob wilde Anschuldigungen.;0;1;Ali;Ava
Wer hat irrational gehandelt?;Ali;1;Nachdem fast alle von der Party nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
Wer hat sich ruhig und vernünftig verhalten?;Ava;0;Nachdem fast alle von der Party nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
Wer hat irrational gehandelt?;Ava;1;Nachdem fast alle von der Party nach Hause gegangen waren, waren nur Ali und Ava zurückgeblieben.;Ali schien verzweifelt zu versuchen, Ava zu beruhigen. Aber Ava schrie nur weiter und erhob wilde Anschuldigungen.;0;1;Ali;Ava
Wer hat sich ruhig und vernünftig verhalten?;Ali;0;Nachdem fast alle von der Party nach Hause gegangen waren, waren nur Ali und Ava zurückgeblieben.;Ali schien verzweifelt zu versuchen, Ava zu beruhigen. Aber Ava schrie nur weiter und erhob wilde Anschuldigungen.;0;1;Ali;Ava
Wer hat irrational gehandelt?;Ali;1;Nachdem fast alle nach der Veranstaltung nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
Wer hat sich ruhig und vernünftig verhalten?;Ava;0;Nachdem fast alle nach der Veranstaltung nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
Wer hat irrational gehandelt?;Ava;1;Nachdem fast alle nach der Veranstaltung nach Hause gegangen waren, waren nur Ali und Ava zurückgeblieben.;Ali schien verzweifelt zu versuchen, Ava zu beruhigen. Aber Ava schrie nur weiter und erhob wilde Anschuldigungen.;0;1;Ali;Ava
Wer hat sich ruhig und vernünftig verhalten?;Ali;0;Nachdem fast alle nach der Veranstaltung nach Hause gegangen waren, waren nur Ali und Ava zurückgeblieben.;Ali schien verzweifelt zu versuchen, Ava zu beruhigen. Aber Ava schrie nur weiter und erhob wilde Anschuldigungen.;0;1;Ali;Ava
Wer hat irrational gehandelt?;Ali;1;Nachdem fast alle Teilnehmer des Abendessens nach Hause gegangen waren, waren nur Ava und Ali zurückgeblieben.;Ava schien verzweifelt zu versuchen, Ali zu beruhigen. Aber Ali schrie nur weiter und erhob wilde Anschuldigungen.;1;0;Ava;Ali
